id,region,country,location,stadium_name,total_capacity,sport_played
146,North America,United States,Minneapolis,Target Field,"38,000",Baseball
146,North America,United States,St. Paul,Allianz Field,"19,000",Football
146,North America,United States,Minneapolis,Target Center,"18,000",Basketball
146,North America,United States,St. Paul,Xcel Energy Center,"17,000",Ice hockey
146,North America,United States,Minneapolis,Williams Arena,"14,000",Basketball
146,North America,United States,Minneapolis,3M Arena at Mariucci,"10,000",Ice hockey
146,North America,United States,University,Vaught-Hemingway Stadium,"64,000",American football
146,North America,United States,Hattiesburg,MM Roberts Stadium,"36,000",American football
146,North America,United States,Mississippi State,Humphrey Coliseum,"10,000",Basketball
146,North America,United States,Kansas City,Arrowhead Stadium,"76,000",American football
146,North America,United States,St. Louis,Busch Stadium,"45,000",Baseball
146,North America,United States,Kansas City,Kauffman Stadium,"37,000",Baseball
146,North America,United States,St. Louis,CITYPARK,"22,000",Football
146,North America,United States,St. Louis,Enterprise Center,"18,000",Ice hockey
146,North America,United States,Cape Girardeau,Houck Stadium,"11,000","American football, football"
146,North America,United States,Missoula,Washington-Grizzly Stadium,"25,000",American football
146,North America,United States,Bozeman,Bobcat Stadium,"17,000",American football
146,North America,United States,Lincoln,Memorial Stadium,"85,000",American football
146,North America,United States,Omaha,TD Ameritrade Park Omaha,"24,000",Baseball
146,North America,United States,Omaha,CHI Health Center Arena,"18,000",Basketball
146,North America,United States,Lincoln,Pinnacle Bank Arena,"15,000",Basketball
146,North America,United States,Paradise,Allegiant Stadium,"65,000",American football
146,North America,United States,Whitney,Sam Boyd Stadium,"36,000",American football
146,North America,United States,Paradise,T-Mobile Arena,"17,000",Ice hockey
146,North America,United States,East Rutherford,MetLife Stadium,"82,000",American football
146,North America,United States,Piscataway,SHI Stadium,"52,000",American football
146,North America,United States,Princeton,Princeton University Stadium,"27,000",American football
146,North America,United States,Harrison,Red Bull Arena,"25,000",Football
146,North America,United States,Newark,Prudential Center,"18,000","Basketball, ice hockey"
146,North America,United States,Albuquerque,Dreamstyle Arena,"15,000",Basketball
146,North America,United States,Las Cruces,Field of Dreams,"15,000",American football
146,North America,United States,Las Cruces,Pan American Center,"12,000","Basketball, volleyball"
146,North America,United States,Orchard Park,Highmark Blue Cross Blue Shield Stadium,"71,000",American football
146,North America,United States,Syracuse,JMA Wireless Dome,"49,000","American football, basketball, field lacrosse"
146,North America,United States,New York,Yankee Stadium,"47,000","Baseball, football"
146,North America,United States,New York,Citi Field,"41,000",Baseball
146,North America,United States,West Point,Michie Stadium,"38,000",American football
146,North America,United States,Amherst,UB Stadium,"25,000","American football, football"
146,North America,United States,New York,Arthur Ashe Stadium,"23,000",Tennis
146,North America,United States,Buffalo,KeyBank Center,"19,000","Box lacrosse, ice hockey"
146,North America,United States,New York,Madison Square Garden,"19,000","Basketball, ice hockey"
146,North America,United States,New York,Barclays Center,"17,000",Basketball
146,North America,United States,Rochester,Frontier Field,"13,000",Baseball
146,North America,United States,Rochester,Marina Auto Stadium,"13,000","Field lacrosse, football"
146,North America,United States,Brockport,Eunice Kennedy Shriver Stadium,"11,000",Multi-purpose
146,North America,United States,Hempstead,James M. Shuart Stadium,"11,000",Field lacrosse
146,North America,United States,Syracuse,NBT Bank Stadium,"11,000",Baseball
146,North America,United States,Hamilton,Andy Kerr Stadium,"10,000","American football, field lacrosse"
146,North America,United States,New York,Louis Armstrong Stadium,"10,000",Tennis
146,North America,United States,Uniondale,Mitchel Athletic Complex Stadium,"10,000","American football, football"
141,North America,Nicaragua,Managua,Estadio Nacional de fÃºtbol de Nicaragua,"20,000",Football
141,North America,Nicaragua,Managua,Estadio Nacional Dennis MartÃ­nez,"15,000",Baseball
146,North America,United States,Charlotte,Bank of America Stadium,"75,000","American football, football"
146,North America,United States,Raleigh,Carter-Finley Stadium,"56,000",American football
146,North America,United States,Chapel Hill,Kenan Memorial Stadium,"50,000",American football
146,North America,United States,Durham,Wallace Wade Stadium,"40,000",American football
146,North America,United States,Chapel Hill,Dean E. Smith Student Activities Center,"21,000",Basketball
146,North America,United States,Greensboro,Truist Stadium,"21,000",American football
146,North America,United States,Charlotte,Spectrum Center,"19,000",Basketball
146,North America,United States,Charlotte,Jerry Richardson Stadium,"15,000",American football
146,North America,United States,Winston-Salem,Lawrence Joel Veterans Memorial Coliseum,"14,000",Basketball
146,North America,United States,Charlotte,American Legion Memorial Stadium,"10,000",Football
146,North America,United States,Durham,Oâ€™Kelly-Riddick Stadium,"10,000",American football
146,North America,United States,Cary,Sahlenâ€™s Stadium,"10,000","Football, ultimate"
146,North America,United States,Fargo,Fargodome,"18,000",American football
146,North America,United States,Grand Forks,Ralph Engelstad Arena,"11,000",Ice hockey
146,North America,United States,Columbus,Ohio Stadium,"1,02,000",American football
146,North America,United States,Cleveland,FirstEnergy Stadium,"67,000",American football
146,North America,United States,Cincinnati,Paycor Stadium,"65,000",American football
146,North America,United States,Cincinnati,Great American Ball Park,"43,000",Baseball
146,North America,United States,Cincinnati,Nippert Stadium,"40,000",American football
146,North America,United States,Cleveland,Progressive Field,"34,000",Baseball
146,North America,United States,Toledo,Glass Bowl Stadium,"26,000",American football
146,North America,United States,Cincinnati,TQL Stadium,"26,000",Football
146,North America,United States,Kent,Dix Stadium,"25,000","American football, field lacrosse, football"
146,North America,United States,Bowling Green,Doyt L. Perry Stadium,"24,000",American football
146,North America,United States,Oxford,Fred C. Yager Stadium,"24,000",American football
146,North America,United States,Youngstown,Arnold D. Stambaugh Stadium,"20,000",American football
146,North America,United States,Columbus,Lower.com Field,"20,000",Football
146,North America,United States,Columbus,Historic Crew Stadium,"19,000",Football
146,North America,United States,Cleveland,Rocket Mortgage FieldHouse,"19,000","Basketball, ice hockey"
146,North America,United States,Columbus,Nationwide Arena,"18,000",Ice hockey
146,North America,United States,Columbus,Value City Arena,"18,000","Basketball, ice hockey"
146,North America,United States,Parma,Byers Field,"12,000","American football, football"
146,North America,United States,Mason,Center Court,"11,000",Tennis
146,North America,United States,Dayton,Welcome Stadium,"11,000",American football
146,North America,United States,Cincinnati,Cintas Center,"10,000","Basketball, volleyball"
146,North America,United States,Columbus,Jesse Owens Memorial Stadium,"10,000","Field lacrosse, football"
146,North America,United States,Norman,Gaylord Family â€“ Oklahoma Memorial Stadium,"80,000",American football
146,North America,United States,Stillwater,Boone Pickens Stadium,"55,000",American football
146,North America,United States,Tulsa,HA Chapman Stadium,"30,000",American football
146,North America,United States,Norman,Lloyd Noble Center,"11,000",Basketball
146,North America,United States,Tulsa,Mabee Center,"11,000",Basketball
146,North America,United States,Eugene,Autzen Stadium,"54,000",American football
146,North America,United States,Portland,Providence Park,"25,000",Football
146,North America,United States,Portland,Moda Center,"19,000","Basketball, ice hockey"
146,North America,United States,Pendleton,Pendleton Round-Up Stadium,"17,000",Rodeo
146,North America,United States,Portland,Veterans Memorial Coliseum,"12,000",Ice hockey
142,North America,Panama,Panama City,Estadio OlÃ­mpico Rommel FernÃ¡ndez GutiÃ©rrez,"32,000",Football
146,North America,United States,University Park,Beaver Stadium,"1,06,000",American football
146,North America,United States,Philadelphia,Lincoln Financial Field,"69,000",American football
146,North America,United States,Pittsburgh,Acrisure Stadium,"68,000",American football
146,North America,United States,Philadelphia,Franklin Field,"52,000","American football, field lacrosse"
146,North America,United States,Philadelphia,Citizens Bank Park,"42,000",Baseball
146,North America,United States,Pittsburgh,PNC Park,"38,000",Baseball
146,North America,United States,Philadelphia,Wells Fargo Center,"20,000","Basketball, box lacrosse, ice hockey"
146,North America,United States,Pittsburgh,PPG Paints Arena,"18,000",Ice hockey
146,North America,United States,Philadelphia,Subaru Park,"18,000",Football
146,North America,United States,Bethlehem,Bethlehem Area School District Stadium,"16,000",Multi-purpose
146,North America,United States,Hershey,Hersheypark Stadium,"15,000","American football, football"
146,North America,United States,Bryn Mawr,Villanova Stadium,"12,000","American football,Ã‚ field hockey, field lacrosse"
146,North America,United States,Erie,Erie Veterans Memorial Stadium,"10,000","American football, football"
146,North America,United States,Hershey,Giant Center,"10,000",Ice hockey
146,North America,United States,Altoona,Mansion Park Stadium,"10,000","American football, football"
146,North America,United States,MayagÃ¼ez,Estadio Isidoro GarcÃ­a,"10,000",Baseball
146,North America,United States,Providence,Amica Mutual Pavilion,"12,000","Basketball, ice hockey"
146,North America,United States,Clemson,Memorial Stadium,"81,000",American football
146,North America,United States,Orangeburg,Oliver C. Dawson Stadium,"22,000","American football, football"
146,North America,United States,Columbia,Colonial Life Arena,"18,000",Basketball
146,North America,United States,Columbia,Charlie W. Johnson Stadium,"11,000",American football
146,North America,United States,Summerville,Memorial' Stadium,"10,000",American football
146,North America,United States,Brookings,Dana J. Dykhouse Stadium,"19,000",American football
146,North America,United States,Sioux Falls,Howard Wood Field,"10,000","American football, football"
143,North America,St. Vincent and the Grenadines,Arnos Vale,Arnos Vale Stadium,"18,000","Cricket, football"
146,North America,United States,Knoxville,Neyland Stadium,"1,02,000",American football
146,North America,United States,Nashville,Nissan Stadium,"69,000",American football
146,North America,United States,Memphis,Simmons Bank Liberty Stadium,"58,000",American football
146,North America,United States,Nashville,Vanderbilt Stadium,"40,000",American football
146,North America,United States,Nashville,GEODIS Park,"30,000",Football
146,North America,United States,Murfreesboro,Johnny Ã¢â‚¬Å“RedÃ¢â‚¬Â Floyd Stadium,"30,000",American football
146,North America,United States,Knoxville,Thompson-Boling Arena,"21,000","Basketball, volleyball"
146,North America,United States,Chattanooga,W. Max Finley Stadium,"20,000","American football, football"
146,North America,United States,Memphis,FedExForum,"18,000",Basketball
146,North America,United States,Nashville,Bridgestone Arena,"17,000",Ice hockey
146,North America,United States,Nashville,Memorial Gymnasium,"14,000",Basketball
146,North America,United States,College Station,Kyle Field,"1,02,000",American football
146,North America,United States,Austin,Darrell K. Royal-Texas Memorial Stadium,"1,00,000",American football
146,North America,United States,Dallas,Cotton Bowl Stadium,"92,000",American football
146,North America,United States,Arlington,AT&T Stadium,"80,000",American football
146,North America,United States,Houston,NRG Stadium,"72,000",American football
146,North America,United States,San Antonio,Alamodome,"64,000",American football
146,North America,United States,Lubbock,Jones AT&T Stadium,"60,000",American football
146,North America,United States,El Paso,Sun Bowl Stadium,"51,000",American football
146,North America,United States,Fort Worth,Amon G. Carter Stadium,"47,000",American football
146,North America,United States,Waco,McLane Stadium,"45,000",American football
146,North America,United States,Houston,Minute Maid Park,"41,000",Baseball
146,North America,United States,Houston,TDECU Stadium,"40,000",American football
146,North America,United States,Denton,Apogee Stadium,"30,000",American football
146,North America,United States,San Marcos,Bobcat Stadium,"30,000",American football
146,North America,United States,Houston,PNC Stadium,"22,000","American football, football"
146,North America,United States,Austin,Mike A. Myers Stadium,"20,000",Football
146,North America,United States,Austin,Q2 Stadium,"20,000",Football
146,North America,United States,Frisco,Toyota Stadium,"20,000","American football, football"
146,North America,United States,Dallas,American Airlines Center,"19,000","Basketball, ice hockey"
146,North America,United States,San Antonio,Alamo Stadium,"18,000","American football, football"
146,North America,United States,San Antonio,AT&T Center,"18,000",Basketball
146,North America,United States,Corpus Christi,Buccaneer Stadium,"18,000",American football
146,North America,United States,Houston,Toyota Center,"18,000",Basketball
146,North America,United States,Baytown,Stallworth Stadium,"16,000","American football, football"
146,North America,United States,Kingsville,Javelina Stadium,"15,000",American football
146,North America,United States,McAllen,McAllen Veterans Memorial Stadium,"13,000","American football, football"
146,North America,United States,Carrollton,Tommy Standridge Stadium,"13,000","American football, football"
146,North America,United States,San Benito,Bobby Morrow Stadium,"12,000","American football, football"
146,North America,United States,Austin,Burger Stadium,"12,000","American football, football"
146,North America,United States,Denton,CH Collins Stadium,"12,000","American football, football"
146,North America,United States,Houston,Jones-Cowart Stadium,"12,000",American football
146,North America,United States,Irving,Joy and Ralph Ellis Stadium,"12,000","American football, football"
146,North America,United States,Bedford,Pennington Field,"12,000","American football, football"
146,North America,United States,College Station,Reed Arena,"12,000","Basketball, volleyball"
146,North America,United States,Pasadena,Veterans Memorial Stadium,"12,000","American football, football"
146,North America,United States,Cypress,Cy-Fair FCU Stadium,"11,000","American football, football"
146,North America,United States,El Paso,Don Haskins Center,"11,000",Basketball
146,North America,United States,Austin,Kelly Reeves Stadium,"11,000",American football
146,North America,United States,Commerce,Memorial Stadium,"11,000",American football
146,North America,United States,San Antonio,Dub Farris Stadium,"10,000","American football, football"
146,North America,United States,Dallas,Forester Stadium,"10,000","American football, football"
146,North America,United States,San Antonio,Jerry Comalander Stadium,"10,000","American football, football"
146,North America,United States,Harlingen,J. Lewis Boggus Stadium,"10,000","American football, football"
146,North America,United States,Waco,Paul J. Meyer Arena,"10,000","Basketball, volleyball"
146,North America,United States,Brownsville,Sams Memorial Stadium,"10,000","American football, football"
146,North America,United States,New Braunfels,Unicorn Stadium,"10,000","American football, football"
146,North America,United States,Waller,Waller ISD Stadium,"10,000",American football
144,North America,Trinidad and Tobago,Port-of-Spain,Hasely Crawford Stadium,"23,000",Football
144,North America,Trinidad and Tobago,Port-of-Spain,Queenâ€™s Park Oval,"20,000",Cricket
144,North America,Trinidad and Tobago,Couva,Ato Boldon Stadium,"10,000",Football
144,North America,Trinidad and Tobago,Arima,Larry Gomes Stadium,"10,000",Football
145,North America,United Mexican States,Mexico City,Estadio Azteca,"87,000",Football
145,North America,United Mexican States,Mexico City,Estadio OlÃ­mpico Universitario,"69,000","American football, football"
145,North America,United Mexican States,Guadalajara,Estadio Jalisco,"55,000",Football
145,North America,United Mexican States,Guadalupe,Estadio BBVA,"53,000",Football
145,North America,United Mexican States,Puebla,Estadio CuauhtÃ©moc,"51,000",Football
145,North America,United Mexican States,Zapopan,Estadio Akron,"49,000",Football
145,North America,United Mexican States,San NicolÃ¡s,Estadio Universitario,"41,000",Football
145,North America,United Mexican States,Mexico City,Plaza MÃ©xico,"41,000",Bullfighting
145,North America,United Mexican States,Morelia,Estadio JosÃ© MarÃ­a Morelos y PavÃ³n,"35,000",Football
145,North America,United Mexican States,QuerÃ©taro,Estadio Corregidora de QuerÃ©taro,"33,000",Football
145,North America,United Mexican States,LeÃ³n,Estadio LeÃ³n,"31,000",Football
145,North America,United Mexican States,TorreÃ³n,Estadio Corona,"30,000",Football
145,North America,United Mexican States,Toluca,Estadio Nemesio DÃ­ez,"30,000",Football
145,North America,United Mexican States,Tuxtla GutiÃ©rrez,Estadio VÃ­ctor Manuel Reyna,"29,000",Football
145,North America,United Mexican States,Pachuca,Estadio Hidalgo,"27,000",Football
145,North America,United Mexican States,Zacatepec,Estadio AgustÃ­n â€œCorucoâ€ DÃ­az,"24,000",Football
145,North America,United Mexican States,Aguascalientes,Estadio Victoria,"23,000",Football
145,North America,United Mexican States,Mexico City,Arena Ciudad de MÃ©xico,"22,000",Multi-purpose
145,North America,United Mexican States,Chihuahua,Estadio OlÃ­mpico Universitario,"22,000","American football, football"
145,North America,United Mexican States,Monterrey,Estadio de bÃ©isbol Monterrey,"21,000",Baseball
145,North America,United Mexican States,Tijuana,Plaza Monumental de Tijuana,"21,000",Bullfighting
145,North America,United Mexican States,Mexico City,Estadio Alfredo Harp HelÃº,"20,000",Baseball
145,North America,United Mexican States,CuliacÃ¡n Rosales,Estadio Banorte,"20,000",Football
